url1_lang,url2_lang,pair_id,link1,link2,ia_link1,ia_link2,Geography,Entities,Time,Narrative,Overall,Style,Tone
en,en,1517606890_1484150492,https://townhall.com/columnists/gregoryrummo/2020/01/01/mr-todd--noahs-flood-is-not-a-fairy-tale-n2558758,https://www.hollandsentinel.com/entertainmentlife/20200101/award-winning-lecture-series-comes-to-holland?rssfeed=true,https://web.archive.org/web/townhall.com/columnists/gregoryrummo/2020/01/01/mr-todd--noahs-flood-is-not-a-fairy-tale-n2558758,https://web.archive.org/web/www.hollandsentinel.com/entertainmentlife/20200101/award-winning-lecture-series-comes-to-holland?rssfeed=true,3.6666666666666665,4.0,2.0,4.0,4.0,3.6666666666666665,3.3333333333333335
en,en,1484011538_1483998251,https://web.archive.org/web/20191022150624/https://www.bbc.com/news/world-latin-america-50134451,https://web.archive.org/web/20191101002823/https://www.bbc.co.uk/news/world-latin-america-50248739,https://web.archive.org/web/web.archive.org/web/20191022150624/https://www.bbc.com/news/world-latin-america-50134451,https://web.archive.org/web/web.archive.org/web/20191101002823/https://www.bbc.co.uk/news/world-latin-america-50248739,1.0,2.0,1.6666666666666667,2.3333333333333335,2.0,1.3333333333333333,1.3333333333333333
de,de,1484456061_1483970080,https://www.freiepresse.de/chemnitz/moritzhof-buergermeister-setzt-sprechstunden-fort-artikel10693397,https://www.dnn.de/Region/Polizeiticker/Motorraeder-brennen-200.000-Euro-Schaden,https://web.archive.org/web/www.freiepresse.de/chemnitz/moritzhof-buergermeister-setzt-sprechstunden-fort-artikel10693397,https://web.archive.org/web/www.dnn.de/Region/Polizeiticker/Motorraeder-brennen-200.000-Euro-Schaden,2.3333333333333335,4.0,1.6666666666666667,4.0,4.0,1.0,1.3333333333333333
en,en,1483806441_1484179419,https://www.freepressjournal.in/india/trinamool-turns-22-observes-its-foundation-day-as-citizens-day-to-mark-anti-caa-protests,https://theindianawaaz.com/at-india-gate-youth-pledge-to-fight-against-caa-nrc-npr/,https://web.archive.org/web/www.freepressjournal.in/india/trinamool-turns-22-observes-its-foundation-day-as-citizens-day-to-mark-anti-caa-protests,https://web.archive.org/web/theindianawaaz.com/at-india-gate-youth-pledge-to-fight-against-caa-nrc-npr/,1.6666666666666667,2.6666666666666665,1.0,2.0,2.3333333333333335,1.0,1.0
en,en,1484189309_1488837023,https://www.newsday.com/opinion/commentary/senate-impeachment-trial-ukraine-house-articles-1.40116150,https://weeklycuttingedge.com/impeachment-will-damage-trump-whether-he-is-removed-or-not/,https://web.archive.org/web/www.newsday.com/opinion/commentary/senate-impeachment-trial-ukraine-house-articles-1.40116150,https://web.archive.org/web/weeklycuttingedge.com/impeachment-will-damage-trump-whether-he-is-removed-or-not/,1.0,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0
es,es,1551602334_1552073561,https://cholilaonline.com/2020/03/luque-se-reunio-con-titulares-de-medios-para-unificar-criterios-y-evitar-la-desinformacion-sobre-el-coronavirus-2.html,https://cholilaonline.com/2020/03/municipio-y-supermercados-trabajan-en-acciones-en-el-marco-de-la-emergencia-sanitaria-en-comodoro.html,https://web.archive.org/web/cholilaonline.com/2020/03/luque-se-reunio-con-titulares-de-medios-para-unificar-criterios-y-evitar-la-desinformacion-sobre-el-coronavirus-2.html,https://web.archive.org/web/cholilaonline.com/2020/03/municipio-y-supermercados-trabajan-en-acciones-en-el-marco-de-la-emergencia-sanitaria-en-comodoro.html,1.0,2.0,1.0,3.0,2.0,1.0,1.0
tr,tr,1512625538_1510280077,https://www.yenivatan.at/viyana-belediyesi-bozkurt-isareti-yapanlari-isten-cikardi/,https://www.aksam.com.tr/dunya/viyana-belediyesi-bozkurt-isareti-yapan-turk-otobus-soforlerini-isten-cikardi/haber-1041220,https://web.archive.org/web/www.yenivatan.at/viyana-belediyesi-bozkurt-isareti-yapanlari-isten-cikardi/,https://web.archive.org/web/www.aksam.com.tr/dunya/viyana-belediyesi-bozkurt-isareti-yapan-turk-otobus-soforlerini-isten-cikardi/haber-1041220,1.0,2.0,1.0,2.0,2.0,1.0,1.0
es,es,1484557186_1484557181,https://ciudadnoticias.com/macarena-rinaldi-festejo-el-cambio-de-decada-en-familia/,https://ciudadnoticias.com/celeste-muriega-festejo-ano-nuevo-en-mar-del-plata/,https://web.archive.org/web/ciudadnoticias.com/macarena-rinaldi-festejo-el-cambio-de-decada-en-familia/,https://web.archive.org/web/ciudadnoticias.com/celeste-muriega-festejo-ano-nuevo-en-mar-del-plata/,4.0,3.0,1.0,2.0,2.0,1.0,1.0
en,en,1484452087_1484226995,https://www.freedomnewspaper.com/2020/01/01/diaspora-chairmans-new-year-message/,https://www.otakuusamagazine.com/hiro-mashima-teases-surprising-announcements-2020/,https://web.archive.org/web/www.freedomnewspaper.com/2020/01/01/diaspora-chairmans-new-year-message/,https://web.archive.org/web/www.otakuusamagazine.com/hiro-mashima-teases-surprising-announcements-2020/,4.0,4.0,2.0,4.0,4.0,3.0,3.5
es,es,1494077821_1493943763,https://www.publimetro.com.mx/mx/deportes/2020/01/13/quien-es-carlos-giron-el-medallista-olimpico-de-moscu-1980.html,https://www.diarioimagen.net/?p=455805,https://web.archive.org/web/www.publimetro.com.mx/mx/deportes/2020/01/13/quien-es-carlos-giron-el-medallista-olimpico-de-moscu-1980.html,https://web.archive.org/web/www.diarioimagen.net/?p=455805,1.0,2.0,1.0,2.0,1.0,1.0,1.0
